trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 0.95}",30,0,-104.03378047269302,"{0: 20, 1: 3, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.05, 'e': 0.8999999999999999}",25,9,-75.39090344598307,"{0: 9, 1: 2, 2: 4, 3: 0, 4: 1}",1
3,False,"{'a': 0.05, 'e': 0.8499999999999999}",25,0,-118.96466196433516,"{0: 14, 1: 5, 2: 3, 3: 2, 4: 1}",0
4,False,"{'a': 0.05, 'e': 0.7999999999999998}",25,13,-67.51084655860151,"{0: 7, 1: 2, 2: 1, 3: 1, 4: 1}",1
5,False,"{'a': 0.05, 'e': 0.7499999999999998}",25,0,-138.75141338087738,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
6,False,"{'a': 0.05, 'e': 0.6999999999999997}",25,0,-48.09550091768471,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
7,False,"{'a': 0.05, 'e': 0.6499999999999997}",20,0,-16.213233509421993,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.05, 'e': 0.5999999999999996}",25,11,19.705027364530174,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.05, 'e': 0.5499999999999996}",25,0,-48.40773500577432,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.05, 'e': 0.4999999999999996}",20,2,-40.38158389355686,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
11,False,"{'a': 0.05, 'e': 0.4499999999999996}",20,0,-94.28300232921363,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.05, 'e': 0.39999999999999963}",25,0,8.630994029878114,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.05, 'e': 0.34999999999999964}",20,0,-42.509450522844894,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.05, 'e': 0.29999999999999966}",25,0,-62.50163433789415,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.05, 'e': 0.24999999999999967}",20,15,8.116542275257487,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.05, 'e': 0.19999999999999968}",25,18,11.87738352558446,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.05, 'e': 0.1499999999999997}",25,0,3.6850965242408793,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
18,False,"{'a': 0.05, 'e': 0.09999999999999969}",25,16,15.302489700939843,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.05, 'e': 0.049999999999999684}",20,6,14.268886590160598,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.05, 'e': -3.191891195797325e-16}",20,13,2.907557593704965,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,3,31.616636486370492,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,14,17.760371237438832,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,17,15.793383572342098,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",35,13,30.241310473850806,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,20,16.51109426581175,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,0,18.175259257106998,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,24.92807746945675,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",30,0,0.4851332028203219,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,11,16.94052337221651,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,10,15.874288730079666,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
