trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.999, 'e': 1.0}",30,0,-203.94088513012414,"{0: 17, 1: 4, 2: 4, 3: 2, 4: 3}",0
2,False,"{'a': 0.999, 'e': 0.999}",25,0,-95.96455396515493,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.999, 'e': 0.998001}",20,0,-148.9340160071733,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
4,False,"{'a': 0.999, 'e': 0.997002999}",20,0,-116.93412499272978,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
5,False,"{'a': 0.999, 'e': 0.996005996001}",20,0,-178.01745585124263,"{0: 9, 1: 4, 2: 3, 3: 1, 4: 3}",0
6,False,"{'a': 0.999, 'e': 0.995009990004999}",20,9,-86.42977401173209,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 2}",1
7,False,"{'a': 0.999, 'e': 0.994014980014994}",20,0,-25.898442536430387,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.999, 'e': 0.993020965034979}",25,0,-130.7651836104006,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
9,False,"{'a': 0.999, 'e': 0.992027944069944}",20,0,-120.99370259272027,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 2}",0
10,False,"{'a': 0.999, 'e': 0.991035916125874}",35,0,-202.5050542228691,"{0: 23, 1: 2, 2: 6, 3: 0, 4: 4}",0
11,False,"{'a': 0.999, 'e': 0.9900448802097482}",25,0,-153.72837602886688,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
12,False,"{'a': 0.999, 'e': 0.9890548353295384}",25,0,-126.61407305766676,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.999, 'e': 0.9880657804942089}",20,0,-110.319203036363,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
14,False,"{'a': 0.999, 'e': 0.9870777147137147}",25,0,-134.61853533978194,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
15,False,"{'a': 0.999, 'e': 0.986090636999001}",20,0,-109.222390261753,"{0: 9, 1: 6, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.999, 'e': 0.985104546362002}",30,0,-216.21838420656908,"{0: 13, 1: 3, 2: 9, 3: 4, 4: 1}",0
17,False,"{'a': 0.999, 'e': 0.9841194418156399}",25,0,-138.79414172807742,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
18,False,"{'a': 0.999, 'e': 0.9831353223738244}",20,0,-183.8548468335993,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
19,False,"{'a': 0.999, 'e': 0.9821521870514505}",30,0,-237.11619643320617,"{0: 18, 1: 3, 2: 2, 3: 3, 4: 4}",0
20,False,"{'a': 0.999, 'e': 0.981170034864399}",20,0,-98.80337045424224,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
21,False,"{'a': 0.999, 'e': 0.9801888648295347}",35,19,-64.14893540390561,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 1}",1
22,False,"{'a': 0.999, 'e': 0.9792086759647052}",20,11,-17.359676909964133,"{0: 5, 1: 3, 2: 1, 3: 0, 4: 0}",1
23,False,"{'a': 0.999, 'e': 0.9782294672887404}",20,4,-122.35437717553873,"{0: 8, 1: 1, 2: 3, 3: 3, 4: 1}",1
24,False,"{'a': 0.999, 'e': 0.9772512378214517}",25,0,-149.45362948890062,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
25,False,"{'a': 0.999, 'e': 0.9762739865836302}",20,0,-115.01249093813739,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
26,False,"{'a': 0.999, 'e': 0.9752977125970466}",25,0,-85.28081748667134,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
27,False,"{'a': 0.999, 'e': 0.9743224148844496}",25,0,-85.56055781273099,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
28,False,"{'a': 0.999, 'e': 0.9733480924695651}",20,0,-153.19882646363791,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
