trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.79237967477623,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-150.8568185540641,"{0: 10, 1: 4, 2: 2, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.56220756461722,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-98.61302224175455,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.5671244602039,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.93380001272413,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-135.97721901872163,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-318.86462626681475,"{0: 13, 1: 5, 2: 3, 3: 4, 4: 5}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-50.31193318937141,"{0: 21, 1: 3, 2: 6, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-139.24304422272326,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-117.10366416765947,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-183.3598016402054,"{0: 11, 1: 6, 2: 5, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.65726790747388,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,7,-58.9871358494618,"{0: 7, 1: 0, 2: 5, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,12,-6.912529499706861,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-134.65732655874746,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.74870570962307,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,9,-27.541826066665728,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-95.39153360153634,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-51.52989488653641,"{0: 18, 1: 3, 2: 2, 3: 2, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,13,-27.572990843521367,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-209.319723988062,"{0: 12, 1: 3, 2: 5, 3: 2, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-85.62053155270164,"{0: 16, 1: 8, 2: 6, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-223.41661506296379,"{0: 12, 1: 4, 2: 10, 3: 2, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-182.94558901926342,"{0: 10, 1: 4, 2: 9, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-87.29544100661155,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-141.34050988574793,"{0: 11, 1: 9, 2: 3, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-110.0724077608849,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-117.24793910472303,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-98.26296675172885,"{0: 9, 1: 2, 2: 8, 3: 1, 4: 0}",0
